Company Name,Industry,Symbol,Series,ISIN Code
Kiri Industries Ltd.,Chemicals,KIRIINDUS,EQ,INE415I01015
Kirloskar Ferrous Industries Ltd.,Metals & Mining,KIRLFER,EQ,INE884B01025
Kirloskar Oil Eng Ltd.,Capital Goods,KIRLOSENG,EQ,INE146L01010
Kolte-Patil Developers Ltd.,Realty,KOLTEPATIL,EQ,INE094I01018
Krsnaa Diagnostics Ltd.,Healthcare,KRSNAA,EQ,INE08LI01020
LG Balakrishnan & Bros Ltd.,Automobile and Auto Components,LGBBROSLTD,EQ,INE337A01034
LT Foods Ltd.,Fast Moving Consumer Goods,DAAWAT,EQ,INE818H01020
La Opala RG Ltd.,Consumer Durables,LAOPALA,EQ,INE059D01020
M M Forgings Ltd.,Capital Goods,MMFL,EQ,INE227C01017
MAS Financial Services Ltd.,Financial Services,MASFIN,EQ,INE348L01012
MSTC Ltd.,Services,MSTCLTD,EQ,INE255X01014
Maharashtra Scooters Ltd.,Financial Services,MAHSCOOTER,EQ,INE288A01013
Maharashtra Seamless Ltd.,Capital Goods,MAHSEAMLES,EQ,INE271B01025
Maithan Alloys Ltd.,Metals & Mining,MAITHANALL,EQ,INE683C01011
Man Infraconstruction Ltd.,Construction,MANINFRA,EQ,INE949H01023
Manali Petrochemicals Ltd.,Chemicals,MANALIPETC,EQ,INE201A01024
Marksans Pharma Ltd.,Healthcare,MARKSANS,EQ,INE750C01026
Matrimony.Com Ltd.,Consumer Services,MATRIMONY,EQ,INE866R01028
Mayur Uniquoters Ltd.,Consumer Durables,MAYURUNIQ,EQ,INE040D01038
Meghmani Finechem Ltd.,Chemicals,MFL,EQ,INE071N01016
Meghmani Organics Ltd.,Chemicals,MOL,EQ,INE0CT101020
Minda Corporation Ltd.,Automobile and Auto Components,MINDACORP,EQ,INE842C01021
Mishra Dhatu Nigam Ltd.,Capital Goods,MIDHANI,EQ,INE099Z01011
Mold-Tek Packaging Ltd.,Capital Goods,MOLDTKPAC,EQ,INE893J01029
Morepen Laboratories Ltd.,Healthcare,MOREPENLAB,EQ,INE083A01026
Mrs. Bectors Food Specialities Ltd.,Fast Moving Consumer Goods,BECTORFOOD,EQ,INE495P01012
NEOGEN CHEMICALS LTD.,Chemicals,NEOGEN,EQ,INE136S01016
NESCO Ltd.,Services,NESCO,EQ,INE317F01035
NRB Bearings Ltd.,Automobile and Auto Components,NRBBEARING,EQ,INE349A01021
National Fertilizers Ltd.,Chemicals,NFL,EQ,INE870D01012
Nava Ltd.,Power,NAVA,EQ,INE725A01022
Navneet Education Ltd.,Media Entertainment & Publication,NAVNETEDUL,EQ,INE060A01024
Neuland Laboratories Ltd.,Healthcare,NEULANDLAB,EQ,INE794A01010
Newgen Software Technologies Ltd.,Information Technology,NEWGEN,EQ,INE619B01017
Omaxe Ltd.,Realty,OMAXE,EQ,INE800H01010
Optiemus Infracom Ltd.,Telecommunication,OPTIEMUS,EQ,INE350C01017
Orient Cement Ltd.,Construction Materials,ORIENTCEM,EQ,INE876N01018
Orissa Min Dev Co Ltd.,Metals & Mining,ORISSAMINE,EQ,INE725E01024
PDS Ltd.,Textiles,PDSL,EQ,INE111Q01021
PSP Projects Ltd.,Construction,PSPPROJECT,EQ,INE488V01015
Paisalo Digital Ltd.,Financial Services,PAISALO,EQ,INE420C01059
Panama Petrochem Ltd.,Oil Gas & Consumable Fuels,PANAMAPET,EQ,INE305C01029
Paradeep Phosphates Ltd.,Chemicals,PARADEEP,EQ,INE088F01024
Paras Defence and Space Technologies Ltd.,Capital Goods,PARAS,EQ,INE045601015
Pokarna Ltd.,Consumer Durables,POKARNA,EQ,INE637C01025
Prudent Corporate Advisory Services Ltd.,Financial Services,PRUDENT,EQ,INE00F201020
RPSG Ventures Ltd.,Services,RPSGVENT,EQ,INE425Y01011
Railtel Corporation Of India Ltd.,Telecommunication,RAILTEL,EQ,INE0DD101019
Rajratan Global Wire Ltd.,Automobile and Auto Components,RAJRATAN,EQ,INE451D01029
Ramkrishna Forgings Ltd.,Capital Goods,RKFORGE,EQ,INE399G01023
Rategain Travel Technologies Ltd.,Information Technology,RATEGAIN,EQ,INE0CLI01024
RattanIndia Power Ltd.,Power,RTNPOWER,EQ,INE399K01017
Reliance Infrastructure Ltd.,Power,RELINFRA,EQ,INE036A01016
Reliance Power Ltd.,Power,RPOWER,EQ,INE614G01033
Religare Enterprises Ltd.,Financial Services,RELIGARE,EQ,INE621H01010
Responsive Industries Ltd.,Consumer Durables,RESPONIND,EQ,INE688D01026
Rolex Rings Ltd.,Automobile and Auto Components,ROLEXRINGS,EQ,INE645S01016
Rupa & Company Ltd.,Textiles,RUPA,EQ,INE895B01021
S H Kelkar and Company Ltd.,Fast Moving Consumer Goods,SHK,EQ,INE500L01026
SEAMEC Ltd.,Services,SEAMECLTD,EQ,INE497B01018
Safari Industries (India) Ltd.,Consumer Durables,SAFARI,EQ,INE429E01023
Sagar Cements Ltd.,Construction Materials,SAGCEM,EQ,INE229C01021
Sansera Engineering Ltd.,Automobile and Auto Components,SANSERA,EQ,INE953O01021
Sarda Energy and Minerals Ltd.,Metals & Mining,SARDAEN,EQ,INE385C01013
Schneider Electric Infrastructure Ltd.,Capital Goods,SCHNEIDER,EQ,INE839M01018
Sequent Scientific Ltd.,Healthcare,SEQUENT,EQ,INE807F01027
Share India Securities Ltd.,Financial Services,SHAREINDIA,EQ,INE932X01018
Shivalik Bimetal Controls Ltd.,Capital Goods,SBCL,EQ,INE386D01027
Siyaram Silk Mills Ltd.,Textiles,SIYSIL,EQ,INE076B01028
Solara Active Pharma Sciences Ltd.,Healthcare,SOLARA,EQ,INE624Z01016
Somany Ceramics Ltd.,Consumer Durables,SOMANYCERA,EQ,INE355A01028
South Indian Bank Ltd.,Financial Services,SOUTHBANK,EQ,INE683A01023
Spandana Sphoorty Financial Ltd.,Financial Services,SPANDANA,EQ,INE572J01011
Spicejet Ltd.,Services,SPICEJET,EQ,INE285B01017
Star Cement Ltd.,Construction Materials,STARCEMENT,EQ,INE460H01021
Steel Exchange India Ltd.,Capital Goods,STEELXIND,EQ,INE503B01021
Steel Strips Wheels Ltd.,Automobile and Auto Components,SSWL,EQ,INE802C01033
Stove Kraft Ltd.,Consumer Durables,STOVEKRAFT,EQ,INE00IN01015
Strides Pharma Science Ltd.,Healthcare,STAR,EQ,INE939A01011
Styrenix Performance Materials Ltd.,Chemicals,STYRENIX,EQ,INE189B01011
Subex Ltd.,Information Technology,SUBEXLTD,EQ,INE754A01055
Supreme Petrochem Ltd.,Chemicals,SPLPETRO,EQ,INE663A01033
Supriya Lifescience Ltd.,Healthcare,SUPRIYA,EQ,INE07RO01027
Surya Roshni Ltd.,Capital Goods,SURYAROSNI,EQ,INE335A01012
Suryoday Small Finance Bank Ltd.,Financial Services,SURYODAY,EQ,INE428Q01011
Syrma SGS Technology Ltd.,Capital Goods,SYRMA,EQ,INE0DYJ01015
TV Today Network Ltd.,Media Entertainment & Publication,TVTODAY,EQ,INE038F01029
Tamilnad Mercantile Bank Ltd.,Financial Services,TMB,EQ,INE668A01016
Tarsons Products Ltd.,Healthcare,TARSONS,EQ,INE144Z01023
Tasty Bite Eatables Ltd.,Fast Moving Consumer Goods,TASTYBITE,EQ,INE488B01017
Tata Metaliks Ltd.,Metals & Mining,TATAMETALI,EQ,INE056C01010
Tata Steel Long Products Ltd.,Capital Goods,TATASTLLP,EQ,INE674A01014
Tatva Chintan Pharma Chem Ltd.,Chemicals,TATVA,EQ,INE0GK401011
Techno Electric & Engineering Company Ltd.,Construction,TECHNOE,EQ,INE285K01026
Technocraft Industries (India) Ltd.,Capital Goods,TIIL,EQ,INE545H01011
Tega Industries Ltd.,Capital Goods,TEGA,EQ,INE011K01018
Thirumalai Chemicals Ltd.,Chemicals,TIRUMALCHM,EQ,INE338A01024
Thomas Cook (India) Ltd.,Consumer Services,THOMASCOOK,EQ,INE332A01027
Tide Water Oil (India) Ltd.,Oil Gas & Consumable Fuels,TIDEWATER,EQ,INE484C01030
Time Technoplast Ltd.,Capital Goods,TIMETECHNO,EQ,INE508G01029
Tinplate Company of India Ltd.,Capital Goods,TINPLATE,EQ,INE422C01014
Ujjivan Small Finance Bank Ltd.,Financial Services,UJJIVANSFB,EQ,INE551W01018
Usha Martin Ltd.,Capital Goods,USHAMART,EQ,INE228A01035
V.S.T Tillers Tractors Ltd.,Capital Goods,VSTTILLERS,EQ,INE764D01017
VRL Logistics Ltd.,Services,VRLLOG,EQ,INE366I01010
VST Industries Ltd.,Fast Moving Consumer Goods,VSTIND,EQ,INE710A01016
Va Tech Wabag Ltd.,Utilities,WABAG,EQ,INE956G01038
Vakrangee Ltd.,Information Technology,VAKRANGEE,EQ,INE051B01021
Valiant Organics Ltd.,Chemicals,VALIANTORG,EQ,INE565V01010
Venky's (India) Ltd.,Fast Moving Consumer Goods,VENKEYS,EQ,INE398A01010
Vesuvius India Ltd.,Capital Goods,VESUVIUS,EQ,INE386A01015
Vidhi Specialty Food Ingredients Ltd.,Chemicals,VIDHIING,EQ,INE632C01026
Voltamp Transformers Ltd,Capital Goods,VOLTAMP,EQ,INE540H01012
Welspun Enterprises Ltd.,Construction,WELENT,EQ,INE625G01013
West Coast Paper Mills Ltd.,Forest Materials,WSTCSTPAPR,EQ,INE976A01021
eMudhra Ltd.,Information Technology,EMUDHRA,EQ,INE01QM01018
